exp,phi_0,dV_ges,eps_0,h_dis_0,h_c_0,lambda,rho_c,rho_d,eta_c,etc_d,sigma,T,r_S_star,h_p_star,D_A,L_A
2mmol_21C,0.0008023947041348,998.4437317152104,0.499859416347493,0.0212301599999999,0.1028011779761904,0.9954670532148652,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006914477432014,995.615377184466,0.5002858573287191,0.0135078194444444,0.1089744797101449,0.995130479045555,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005959063986898,1000.7094768608416,0.4998987022648924,0.02998275,0.1050202868794326,0.99548964399531,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006208865371595,998.9666430420712,0.3995159343372393,0.0322479999999999,0.1011704745762712,0.99503908824322,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005994401454037,999.5966291262137,0.400065471279729,0.029244125,0.0976891741071428,0.9949930209900424,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006167711764025,1003.6799088996764,0.4003825178051422,0.0224178333333333,0.1005960227272727,0.99511174985265,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.000595618199435,1007.0927,0.300563236353818,0.0265932507936508,0.1001188548809523,0.99476106134038,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005789362917708,993.7884747572814,0.2984009489871027,0.032670375,0.0993623094827586,0.994939514846655,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0004926553371498,993.4503634304208,0.2985951655661972,0.0271058749999999,0.1042170742937852,0.99505433725898,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0009129270611455,1500.5412996763755,0.500445131587062,0.01793495,0.103834645754717,0.9944570652305,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.000988260121097,1501.1234974110034,0.5000306163135656,0.0157833207142857,0.1058108249160561,0.994077100618315,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0009436086871729,1500.9938655339804,0.4999866548469191,0.0180016694444444,0.1036156509958071,0.994641999938475,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0007789416764446,1498.665097249191,0.3998699560252812,0.0359906666666666,0.0986675755813953,0.993969140201415,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0007810863452648,1499.9132524271845,0.400039438548608,0.036749,0.0958544418300653,0.99411004590473,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0007418070880366,1500.2152653721682,0.3999397663269279,0.0345381666666666,0.0977668173333333,0.994809069408215,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006373718749577,1500.0514666666668,0.2999424985976734,0.0358459999999999,0.1085776496598639,0.9934907380988052,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006318123760649,1500.2585396440131,0.3000493519555831,0.0462224333333333,0.1120298641304347,0.99347530254037,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0005610608327805,1500.6859313106795,0.2999640024223567,0.021848,0.1185301447368421,0.99412199943601,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0008012816603734,1995.993524919094,0.4997000346357778,0.0258174999999999,0.1018499861111111,0.99330616845947,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0008100260147542,2004.2110860841424,0.4999611843771681,0.0321846166666666,0.1004303358716475,0.99317713087864,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.000788145947549,2001.9550936893204,0.4999691991802996,0.031879775297619,0.1004338431034482,0.993678973532955,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0007130227621522,1997.5986572815527,0.3998053135391603,0.0352334166666666,0.1016444847701149,0.99260365367878,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0006951008675881,2001.264875566344,0.4000326327947462,0.046956,0.0993604538386783,0.99265787007184,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_21C,0.0007012741622249,1924.43022815534,0.4051928628207774,0.04440175,0.0968169296918767,0.993153507792615,1002.7,832.5,0.00102,0.008737,0.00822,21,0.009,0.28537,0.2,1.3
2mmol_30C,0.0007364548431356,994.2105978964402,0.4998578277590503,0.0176955223423636,0.0949518611586549,0.997114329252345,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0007296987643269,997.5086511326864,0.4997038404152173,0.0206519348767174,0.0949085782090629,0.997137009758275,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006966772421709,1007.2579058252428,0.4993896159584967,0.0227573461538461,0.0944429059780955,0.997423514640275,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006423623798983,1000.2610723300968,0.4001097302133258,0.0206700749999999,0.0962459029973012,0.99688044081309,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
2mmol_30C,0.0006801244715163,1003.0110344660196,0.39954061599505,0.0202831363636363,0.0961859455677099,0.996950279615595,1000.0,825.4,0.00082,0.00604,0.00817,30,0.0345,0.0175,0.2,1.3
